河北频道,#genre#
安徽卫视,http://120.211.119.222:8899/hls/29/index.m3u8
安徽卫视,http://101.75.215.51:8008/hls/29/index.m3u8
安徽卫视,http://121.18.43.254:10000/hls/31/index.m3u8
山东卫视,http://120.7.86.44:808/hls/22/index.m3u8
山东卫视,http://101.75.215.51:8008/hls/24/index.m3u8
山西卫视,http://121.24.98.203:8090/hls/35/index.m3u8
山西卫视,http://121.18.43.254:10000/hls/55/index.m3u8
广东卫视,http://121.24.98.203:8090/hls/82/index.m3u8
广东卫视,http://121.18.43.254:10000/hls/28/index.m3u8
广西卫视,http://101.75.215.51:8008/hls/35/index.m3u8
广西卫视,http://120.211.119.222:8899/hls/35/index.m3u8
广西卫视,http://121.18.43.254:10000/hls/53/index.m3u8
新疆卫视,http://121.24.98.203:8090/hls/61/index.m3u8
旅游卫视,http://120.211.119.222:8899/hls/45/index.m3u8
江苏卫视,http://120.211.119.222:8899/hls/20/index.m3u8
江苏卫视,http://101.75.215.51:8008/hls/20/index.m3u8
江苏卫视,http://121.18.43.254:10000/hls/21/index.m3u8
江西卫视,http://121.18.43.254:10000/hls/40/index.m3u8
河北卫视,http://120.7.86.44:808/hls/17/index.m3u8
河南卫视,http://120.7.86.44:808/hls/43/index.m3u8
河南卫视,http://120.211.119.222:8899/hls/48/index.m3u8
河南卫视,http://121.18.43.254:10000/hls/35/index.m3u8
浙江卫视,http://120.7.86.44:808/hls/49/index.m3u8
浙江卫视,http://120.7.86.44:808/hls/27/index.m3u8
浙江卫视,http://121.24.98.203:8090/hls/79/index.m3u8
浙江卫视,http://121.18.43.254:10000/hls/20/index.m3u8
浙江卫视,http://120.211.119.222:8899/hls/26/index.m3u8
海南卫视,http://121.18.43.254:10000/hls/58/index.m3u8
深圳卫视,http://121.18.43.254:10000/hls/26/index.m3u8
湖北卫视,http://120.7.86.44:808/hls/29/index.m3u8
湖北卫视,http://121.18.43.254:10000/hls/32/index.m3u8
湖南卫视,http://120.7.86.44:808/hls/18/index.m3u8
湖南卫视,http://120.211.119.222:8899/hls/19/index.m3u8
湖南卫视,http://121.18.43.254:10000/hls/19/index.m3u8
甘肃卫视,http://120.211.119.222:8899/hls/44/index.m3u8
甘肃卫视,http://121.18.43.254:10000/hls/62/index.m3u8
贵州卫视,http://120.211.119.222:8899/hls/49/index.m3u8
贵州卫视,http://121.18.43.254:10000/hls/39/index.m3u8
贵州卫视,http://121.24.98.203:8090/hls/40/index.m3u8
辽宁卫视,http://121.18.43.254:10000/hls/30/index.m3u8
辽宁卫视.,http://120.211.119.222:8899/hls/89/index.m3u8
重庆卫视,http://120.7.86.44:808/hls/31/index.m3u8
重庆卫视,http://121.18.43.254:10000/hls/34/index.m3u8
陕西卫视,http://120.7.86.44:808/hls/35/index.m3u8
陕西卫视,http://121.18.43.254:10000/hls/54/index.m3u8
青海卫视,http://120.7.86.44:808/hls/38/index.m3u8
青海卫视,http://121.18.43.254:10000/hls/57/index.m3u8
黑龙江卫视,http://120.7.86.44:808/hls/26/index.m3u8
黑龙江卫视,http://121.24.98.203:8090/hls/42/index.m3u8
其他频道,#genre#
CETV4,http://120.211.119.222:8899/hls/100/index.m3u8
欢笑剧场4K,http://101.75.215.51:8008/hls/52/index.m3u8
三佳购物,http://121.24.98.203:8090/hls/69/index.m3u8
世界地理,http://101.75.215.51:8008/hls/41/index.m3u8
中华美食,http://121.24.98.203:8090/hls/73/index.m3u8
中国交通,http://121.24.98.203:8090/hls/76/index.m3u8
保定新闻综合,http://121.18.43.254:10000/hls/49/index.m3u8
保定经济生活,http://121.18.43.254:10000/hls/50/index.m3u8
卡酷动画,http://121.24.98.203:8090/hls/83/index.m3u8
卡酷动画,http://121.18.43.254:10000/hls/63/index.m3u8
卡酷少儿,http://120.211.119.222:8899/hls/46/index.m3u8
文物宝库,http://121.24.98.203:8090/hls/47/index.m3u8
永年新闻综合,http://121.24.98.203:8090/hls/62/index.m3u8
游戏竞技,http://121.24.98.203:8090/hls/74/index.m3u8
热播剧场,http://121.24.98.203:8090/hls/104/index.m3u8
相声小品,http://121.24.98.203:8090/hls/101/index.m3u8
纪实,http://120.211.119.222:8899/hls/53/index.m3u8
纪实,http://121.18.43.254:10000/hls/37/index.m3u8
纪实人文,http://121.24.98.203:8090/hls/108/index.m3u8
经典电影,http://121.24.98.203:8090/hls/103/index.m3u8
谍战剧场,http://121.24.98.203:8090/hls/107/index.m3u8
足球,http://120.211.119.222:8899/hls/55/index.m3u8
邢台公共,http://120.211.119.222:8899/hls/102/index.m3u8
邢台综合,http://120.211.119.222:8899/hls/101/index.m3u8
邯郸科教,http://121.24.98.203:8090/hls/89/index.m3u8
金鹰卡通,http://120.211.119.222:8899/hls/50/index.m3u8
金鹰纪实,http://121.18.43.254:10000/hls/36/index.m3u8
